codigo,nombre,precio_1,precio_2,precio_3
078895710922,"ACEITE DE AJONJOLI PURO 207 ML",128.70,125.80,1229.00
7792070000938,"ACEITUNA CEBILA DESCAROZADA",36.30,35.50,34.70
7792070000877,"ACEITUNA CEBILA RELLENA",33.00,32.30,31.50
7792070000907,"ACEITUNA CEBILA VERDE",34.10,33.40,32.60
11285,"ACEITUNA VERDES RELLENAS 330 GRS SOF",38.80,38.00,37.00
11287,"ACEITUNAS NEGRAS DESCAROZADAS 330.GRS SOF",37.40,36.60,35.70
11286,"ACEITUNAS VERDES 330 GRS SOF",32.70,31.90,31.20
11288,"ACEITUNAS VERDES DESCAROZADAS 330GRS SOF",34.00,33.30,32.50
7411000222041,"AJO MOLIDO MC CORMICK 82G",30.80,30.10,29.40
7411000222058,"AJOMIX MEZCLA MC CORMICK 90 GRS",49.50,48.40,47.30
2204230019803,"ALAS DE PATO EN BANDEJA",15.00,27.50,0.00
2200002,"ALAS DE POLLO A GRANEL .",39.00,0.00,0.00
2200015,"ALAS DE POLLO EN BANDEJA",51.50,50.30,49.10
2200416,"ALAS GRANDES FRANQUICIA",48.50,47.40,46.30
7774112103326,"ALBONDIGAS DE POLLO CAJA",23.90,23.40,22.80
7774112103319,"ALBONDIGAS DE RES EN CAJA",35.20,34.30,33.50
77975,"ALIMENTO FELINO CASTRADO 1 KG",45.00,0.00,0.00
7774112100899,"ALITAS BARBACOA BOLSA",39.20,0.00,0.00
7774112100882,"ALITAS PICANTES BOLSA",39.20,0.00,0.00
11101,ALMEJAS,61.70,60.30,58.90
2200248,"ANILLOS DE CALAMAR",55.70,54.50,53.20
2100044,"ARAÑITA DE CERDO EN BANDEJA",61.00,59.60,58.20
7774112100875,"ARROLLADO DE POLLO",86.80,84.80,82.80
11239,"BEA PAN MOLDE CEREAL",17.20,16.80,16.40
1199,"BEA PAN PARA HOT DOGS .",14.60,14.20,13.90
77964,"BEA PAN MOLDE CHIA",11.22,10.80,10.40
1196,"BEA PAN MOLDE INTEGRAL",16.00,15.50,15.20
11104,"BEA PREPIZZA MEDIANA",9.20,9.00,8.80
1198,"BEA PAN HAMBURGUESA CON AJONJOLI",14.60,14.20,13.90
11147,"BEA PAN HOT DOG XL",15.20,14.90,14.50
1195,"BEA PAN MOLDE BLANCO",16.00,15.50,15.20
2200387,"BIFE ANCHO DE RES BRANGUS AL VACIO",103.00,100.60,98.28
2200211,"BIFE ANCHO DE RES AL VACIO DE 1 KG",129.30,126.40,123.50
2200360,"BIFE ANCHO PORCIONADO",131.60,128.60,125.60
2100376,"BIFE ANCHO PREMIUN",89.80,86.40,83.00
2200374,"BIFE ANGOSTO PREMIUN",89.80,87.72,85.68
2200212,"BIFE ANGOSTO DE RES AL VACIO DE 1 KG",130.50,127.60,124.60
2200361,"BIFE ANGOSTO PORCIONADO",132.70,129.70,126.70
2200130,"BIFE DE CERDO CONGELADO EN BANDEJA",83.00,81.10,79.20
2200010,"BONDIOLA DE CERDO A GRANEL",41.00,40.00,39.00
2200101,"BONDIOLA DE CERDO AL VACIO",39.60,38.70,37.80
2200025,"BONDIOLA DE CERDO CONGELADO EN BANDEJA",55.30,54.00,52.70
110022,"CABEZA DE CERDO",39.00,0.00,0.00
110035,"CAFE CUEVAS ORGANICO 1KG",290.40,282.80,277.20
110034,"CAFE CUEVAS ORGANICO 250GR",92.40,90.30,88.20
110030,"CAFE CUEVAS ORGANICO 500GR",158.40,154.80,151.20
11246,"CAFE ESPECIAL DE 250.GR DESTILADO",56.10,54.90,53.60
11011,"CAFE ESPECIAL 1KG GRANO",211.20,206.40,201.60
77115,"CAFE ESPECIAL 500GR DESTILADO",112.20,109.70,107.10
11243,"CAFE ESPECIAL 500GR EN GRANOS",112.20,109.70,107.10
77116,"CAFE ESPECIAL 500GR EXPRES",112.20,109.70,107.10
77114,"CAFE ESPECIAL DE 250 GR GRANOS",56.10,54.90,53.60
77113,"CAFE ESPECIAL DE 250GR EXPRES",56.10,54.90,53.60
11120,CANGREJO,66.00,64.50,63.00
8410010735779,"CARBONELL VINAGRE BALSAMICO",55.00,53.80,52.50
8410010855149,"CARBONELL VINAGRE BLANCO",48.50,47.50,46.30
8410010855064,"CARBONELL VINAGRE TINTO",55.00,53.80,52.50
8410010272588,"CARBONELL VIRGEN EXTRA 750 ML",167.30,163.50,159.70
8410010826699,"CARBONELL VIRGEN EXTRA 250 ML",66.00,64.50,63.00
8410010813729,"CARBONELL VIRGEN EXTRA 500 ML",112.20,109.70,107.10
11111,"CARNE MOLIDA DE CERDO",31.40,0.00,0.00
7773114010441,"CARNE DE CUY ENTERA",58.10,56.80,55.50
7774112103395,"CARNE MOLIDA DE POLLO CONG",21.30,0.00,0.00
2200378,"CARNE MOLIDA DE RES CONG FRIDOSA 750 GR",91.00,88.90,86.90
2200008,"CARRE DE CERDO CONGELADO A GRANEL",40.00,39.00,37.00
2200272,"CAT TIRA ROJA DE COSTILLA DE RES",47.60,46.60,45.50
2200105,"CAZUELA DE POLLO",21.50,19.50,12.60
7774112103623,"CERDO AGRIDULCE 500GR",44.20,43.20,42.20
2200007,"CERDO ENTERO",34.50,34.00,32.50
7771257080321,"CHALAMADA FR BRIXI 370GR",18.50,18.00,17.60
