codigo,nombre,fecha_registro,stock,precio_compra,precio_1,precio_2,precio_3
7792070000938,"ACEITUNA CEBILA DESCAROZADA",2026-08-02,4,25.83,34.1,33.3,32.6
7792070000877,"ACEITUNA CEBILA RELLENA",2026-08-02,3,22.91,30.3,29.6,28.9
7792070000907,"ACEITUNA CEBILA VERDE",2026-08-02,7,24.58,32.5,31.8,31
11286,"ACEITUNAS VERDES 330 GRS SOF",2026-08-02,9,24.72,32.7,31.9,31.2
2204230019803,"ALAS DE PATO EN BANDEJA",2026-08-02,4,27,15,0,0
2200002,"ALAS DE POLLO A GRANEL .",2026-08-02,0.45,36.5,42.5,40.5,39.5
2200416,"ALAS GRANDES FRANQUICIA",2026-08-04,39.32,32.34,42.7,41.8,40.8
7774112103326,"ALBONDIGAS DE POLLO CAJA",2026-08-02,2,16.55,21.9,21.4,20.9
7774112103319,"ALBONDIGAS DE RES EN CAJA",2026-08-02,9,26.6,35.2,34.3,33.6
7774112100899,"ALITAS BARBACOA BOLSA",2026-08-02,2,27.51,36.4,35.5,34.7
7774112100882,"ALITAS PICANTES BOLSA",2026-08-02,5,27.51,36.4,35.5,34.7
2100044,"ARAÑITA DE CERDO EN BANDEJA",2026-08-02,1.65,30.62,40.5,39.5,38.6
7774112100875,"ARROLLADO DE POLLO",2026-08-02,10,65.7,86.8,84.8,82.8
11239,"BEA PAN MOLDE CEREAL",2026-08-04,10,13,17.2,16.8,16.4
1199,"BEA PAN PARA HOT DOGS .",2026-08-04,12,11,14.6,14.2,13.9
1196,"BEA PAN MOLDE INTEGRAL",2026-08-04,17,12,16,15.5,15.2
1198,"BEA PAN HAMBURGUESA CON AJONJOLI",2026-08-04,12,11,14.6,14.2,13.9
1195,"BEA PAN MOLDE BLANCO",2026-08-04,29,12,16,15.5,15.2
2200211,"BIFE ANCHO DE RES AL VACIO DE 1 KG",2026-08-02,48.2,97.96,129.3,126.4,123.5
2200360,"BIFE ANCHO PORCIONADO",2026-08-04,28.62,99.66,131.6,128.6,125.6
2200212,"BIFE ANGOSTO DE RES AL VACIO DE 1 KG",2026-08-04,73.4,98.86,130.5,127.6,124.6
2200361,"BIFE ANGOSTO PORCIONADO",2026-08-02,7.71,100.54,132.7,129.7,126.68
2200130,"BIFE DE CERDO CONGELADO EN BANDEJA",2026-08-02,7.96,47.17,62.3,60.9,59.5
2200010,"BONDIOLA DE CERDO A GRANEL",2026-08-02,9.74,30,41,40,38
2200025,"BONDIOLA DE CERDO CONGELADO EN BANDEJA",2026-08-02,2.75,28.84,38.1,37.2,36.4
110035,"CAFE CUEVAS ORGANICO 1KG",2026-08-02,5,220,290.4,283.8,277.2
110034,"CAFE CUEVAS ORGANICO 250GR",2026-08-02,18,70,92.4,90.3,88.2
110030,"CAFE CUEVAS ORGANICO 500GR",2026-08-02,8,120,158.4,154.8,151.2
11246,"CAFE ESPECIAL DE 250.GR DESTILADO",2026-08-03,18,42.5,56.1,54.9,53.6
77115,"CAFE ESPECIAL 500GR DESTILADO",2026-08-02,18,85,112.2,109.7,107.1
11243,"CAFE ESPECIAL 500GR EN GRANOS",2026-08-02,10,85,112.2,109.7,107.1
77116,"CAFE ESPECIAL 500GR EXPRES",2026-08-02,15,85,112.2,109.7,107.1
77114,"CAFE ESPECIAL DE 250 GR GRANOS",2026-08-02,18,42.5,56.1,54.9,53.6
77113,"CAFE ESPECIAL DE 250GR EXPRES",2026-08-02,20,42.5,56.1,54.9,53.6
11194,"CAJITA PARA CHIPS O ASTILLAS",2026-08-02,30,45,59.4,58.1,56.7
8410010855149,"CARBONELL VINAGRE BLANCO",2026-08-02,2,36.66,48.5,47.3,46.2
8410010272588,"CARBONELL VIRGEN EXTRA 750 ML",2026-08-02,8,126.7,167.3,163.5,159.7
8410010826699,"CARBONELL VIRGEN EXTRA 250 ML",2026-08-02,3,50,66,64.5,63
8410010813729,"CARBONELL VIRGEN EXTRA 500 ML",2026-08-02,8,85,112.2,109.7,107.1
11111,"CARNE MOLIDA DE CERDO",2026-08-02,26,19.82,26.2,25.6,25
7773114010441,"CARNE DE CUY ENTERA",2026-08-02,5,44,58.1,56.8,55.5
2200457,"CARNE MOLIDA DE POLLO",2026-08-03,1,30,37,38.7,37.8
2200378,"CARNE MOLIDA DE RES CONG FRIDOSA 750 GR",2026-08-02,16.07,68.92,91,90,86.9
2200008,"CARRE DE CERDO CONGELADO A GRANEL",2026-08-04,41.44,28,40,39,37
2200272,"CAT TIRA ROJA DE COSTILLA DE RES",2026-08-04,33.48,35.33,47.6,46.6,45.5
110032,"CHARQUE DE RES 100GR SABOR CHURRASCO",2026-08-02,17,45,59.4,58.1,56.7
110031,"CHARQUE DE RES 100GR TRADICIONAL",2026-08-02,12,45,59.4,58.1,56.7
7774112100547,"CHICHARRON DE CERDO",2026-08-02,18,42.2,55.7,54.5,53.2
7774112100530,"CHICHARRON DE POLLO",2026-08-02,19,38.32,50.6,49.5,48.3
7790127781489,"CHIMICHURRI CLASICO VANOLI 300G",2026-08-02,16,17.5,23.2,22.6,22.1
7790127001044,"CHIMICHURRI VANOLI PICANTE 190G",2026-08-02,1,10.83,14.3,14,13.7
2200070,"CHORIZO AHUMADO A GRANEL",2026-08-02,0.17,50.57,66.8,65.3,63.8
2200340,"CHORIZO CAMPESTRE AGRANEL",2026-08-03,13.41,47.72,63,61.6,60.2
110014,"CHORIZO CHURRASQ PICANTE 1KG",2026-08-04,8,55.81,73.7,72,70.4
7774112100820,"CHORIZO CHURRASQUERO 1 KG",2026-08-04,8,53.72,71,69.3,67.7
2200069,"CHORIZO CHURRASQUERO A GRANEL",2026-08-03,26.15,55.6,73.4,71.8,70.1
7774112101193,"CHORIZO CHURRASQUERO DE 5 UNID",2026-08-04,16,24.4,32.2,31.5,30.8
7774112100837,"CHORIZO DE RES AL VACIO DE 1 KG",2026-08-04,11,51.89,68.5,67,65.4
2200064,"CHORIZO PARRILLERO A GRANEL",2026-08-02,31.56,54.52,72,70.4,68.7
7774112100851,"CHORIZO PARRILLERO AL VACIO DE 1 KG .",2026-08-02,20,51.89,68.5,67,65.4
2200065,"CHORIZO TIPO ARGENTINO A GRANEL",2026-08-02,0.44,50.75,67,65.6,64
2200109,"CHORIZO TIPO ITALIANO A GRANEL",2026-08-03,6.15,38.72,51.2,50,48.8
7771257080338,"CHUCRUT BRIXY 370 GRS",2026-08-02,4,16,21.1,20.7,20.2
2200219,"CHULETA DE BONDIOLA AGRANEL",2026-08-04,53.24,27.5,33.5,33,31.5
2200218,"CHULETA DE CERDO AGRANEL",2026-08-02,69.66,27.5,39.5,39.5,39.5
2200031,"CHULETA DE CERDO CONGELADO EN BANDEJA",2026-08-02,2.77,32.45,42.9,41.9,40.9
7774110000047,"CODORNIZ CONGELADO",2026-08-02,25,86,113.5,111,109.4
2200214,"COLITA DE CUADRIL DE RES AL VACIO DE 1 KG .",2026-08-02,4.44,105.35,139.1,135.9,132.8
7774112100424,"CORDON BLEU EN CAJA DE 600 GR",2026-08-02,14,30.21,40,39,38
2200009,"COSTILLA DE CERDO A GRANEL",2026-08-04,128.08,27.5,41,41,41
2200409,"COSTILLA PARRILLERA DE CERDO CON CUERO",2026-08-04,15.88,42,53,52,51
2200038,"COSTILLA PEQUEÑA DE CERDO AHUMADA A GRANEL",2026-08-02,9.8,59.82,79,77.2,75.4
7771214000942,"CREMA DE POLLO KRIS",2026-08-02,4,5.94,8,7.8,7.5
7771257080543,"CREMA DE AJI BRIXY 250 ML",2026-08-02,18,15.5,20.5,20,19.6
7771214000966,"CREMA DE CHOCLO KRIS",2026-08-04,10,5.94,8,7.7,7.5
7771214000973,"CREMA DE ESPARRAGOS KRIS",2026-08-04,10,5.94,8,7.7,7.5
2200213,"CUADRIL DE RES AL VACIO DE 1 KG",2026-08-04,102.84,96.48,127.4,124.5,121.6
7411000222065,"CURRY EN POLVO MC CORMICK 55 GR",2026-08-02,10,22.22,29.4,28.7,28
7774112101155,"DESMENUZADO DE PAVO",2026-08-02,4,20.82,27.5,26.9,26.3
7774112101148,"DESMENUZADO DE POLLO",2026-08-03,14,12.5,29.4,16.2,15.8
7771257080444,"DIP NACHO",2026-08-02,3,16.3,21.6,21.1,20.6
7771257080451,"DIP QUESO Y JALAPEÑO",2026-08-02,1,17.1,22.6,22.1,21.6
11223,"DOG STAR CANINO 20 KG",2026-08-02,1,170.54,225.1,220,214.9
2200033,"ENROLLADO DE CERDO N BARRA DE 2 KG",2026-08-02,6.62,66.97,88.5,86.4,84.4
7771214006777,"EXTRACTO DE TOMATE KRIS 140G",2026-08-04,26,4.3,6,6,6
7774112110041,"FILETE AHUMADO AL FRIO DE TRUCHA TK AV",2026-08-01,4,38.11,66,0,0
