codigo,stock
7792070000938,4.000
7792070000877,3.000
7792070000907,6.000
11286,4.000
2204230019803,4.000
2200002,20.870
2200416,24.080
7774112103326,9.000
7774112103319,9.000
7774112100899,6.000
7774112100882,7.000
2100044,1.410
7774112100875,10.000
11239,15.000
1199,13.000
1196,10.000
1198,12.000
1195,5.000
2200211,57.230
2200360,46.620
2200212,51.500
2200361,37.370
2200130,9.030
2200010,1.100
2200025,2.700
110035,5.000
110034,19.000
110030,9.000
11246,19.000
77115,20.000
11243,10.000
77116,16.000
77114,19.000
77113,20.000
11194,30.000
8410010855149,2.000
8410010855064,2.000
8410010272588,8.000
8410010826699,4.000
8410010813729,9.000
11111,27.000
7773114010441,7.000
7774112103395,9.000
2200378,15.960
2200008,74.070
2200272,28.200
7771908020010,1.000
110032,19.000
110031,15.000
7774112100547,12.000
7774112100530,29.000
7790127781489,10.000
7790127780987,13.000
2200070,1.080
2200340,21.220
110014,14.000
7774112100820,4.000
2200069,1.160
7774112101193,1.000
2200067,0.220
2200064,20.830
2200065,15.540
2200109,4.080
7771257080338,4.000
2200219,34.010
2200218,90.200
2200031,6.260
7774110000047,26.000
2200214,5.270
7774112100424,16.000
2200009,237.260
2200409,5.500
2200038,13.150
7771214000942,10.000
7771257080543,18.000
2200213,66.010
7411000222065,10.000
7774112101148,1.000
7771257080444,3.000
7771257080451,2.000
11223,1.000
7773435900018,4.000
7773417000040,9.000
7773417000002,12.000
7773417000019,10.000
2200033,2.510
7771214006777,1.000
7774112110041,3.000
7774112110010,24.000
7774112110058,3.000
2200446,16.370
2100465,8.690
2200004,46.030
2200401,1.060
7774112110034,30.000
7774112110027,11.000
7774112103852,10.000
7774112103876,16.000
7774112103869,13.000
7771214002519,4.000
7771214001796,4.000
7771214001789,13.000
7771214001802,9.000
7771214001819,15.000
7771214002502,5.000
7771214001918,1.000
7771214001901,10.000
7775021400315,24.000
7770109400010,3.000
734191280636,2.000
7411000222416,20.000
110002,8.000
77147,35.000
7771257080291,8.000
2200061,7.610
2200380,6.550
2200059,3.380
2200100019706,23.720
2200237,8.130
2100399,44.760
110023,2.000
2200060,36.040
7774112101636,4.000
7771214002564,2.000
7771214001383,25.000
7771214003271,4.000
7771214001314,14.000
7771214000850,2.000
7771214000843,3.000
7771214001093,6.000
7771260760685,31.000
77111,2.000
2200252,31.000
2200246,12.000
7771257080611,11.000
7771257080598,4.000
2200375,13.010
7774112102718,18.000
7774112100653,20.000
7774112102343,14.000
7774112100646,5.000
7774112102336,68.000
7774112102701,37.000
781159309304,16.000
781159309274,17.000
2200011,27.090
2200026,2.720
7772622360086,3.000
7772622360116,4.000
7772622360093,2.000
7771259300038,5.000
7771259300014,3.000
7771259300076,4.000
7771259300021,11.000
7771259300151,2.000
7771259300045,11.000
7771259300106,4.000
7771259300250,9.000
7771259300090,7.000
7771259300052,5.000
7771259300298,10.000
7771259300069,4.000
7771259300331,6.000
7771259300340,4.000
7771259300312,5.000
7771259300290,4.000
7771259300272,3.000
7771259300281,12.000
2200028,8.260
7790070317483,27.000
7790070317476,13.000
7790070320438,20.000
7790070320445,13.000
7790070335999,10.000
110027,4.000
110026,7.000
110028,3.000
7771214009389,8.000
7771214001109,26.000
7771214002571,157.000
7771214000881,2.000
7771214005251,3.000
7771214004063,1.000
052100004488,6.000
2200300,0.770
7774112102404,19.000
7774112102411,22.000
7774112102381,18.000
7774112102398,27.000
7774112100479,9.000
7774112100219,9.000
7774112100370,8.000
7774112102053,12.000
7774112100097,12.000
7774112101094,10.000
7774112103357,15.000
7774112103340,14.000
1164,7.000
1165,11.000
1168,6.000
1169,9.000
1167,5.000
7801220002828,5.000
7801220311104,9.000
7801220431109,13.000
7801220013312,12.000
7801220504193,11.000
7801220100036,5.000
7801220001470,1.000
7801220004457,14.000
2200247,39.000
2200066,1.700
2200054,22.370
2200053,32.370
11268,4.000
1159,3.000
2200050,14.930
1161,8.000
2200049,20.180
7774112100684,2.000
1162,17.000
2200048,27.290
7771214002588,50.000
7771214001390,32.000
7771214001321,19.000
7771214000805,12.000
7775021400025,14.000
7772919460017,19.000
7772919460031,12.000
7774112100349,13.000
2200017,1.370
7774112110119,6.000
7774112100189,20.000
7774112103821,8.000
7774112103838,10.000
7774112103845,17.000
11277,7.000
11278,14.000
2200245,13.000
2100466,6.700
2200243,0.890
2200241,2.200
2200242,4.720
2200013,20.520
7774112101971,5.000
7774112103678,1.000
7772622360062,12.000
7770000800704,3.000
110029,1.000
2200103,18.700
7774112102008,27.000
7774112101742,5.000
7774112102978,12.000
7774112102800,7.000
2200363,64.540
7774112100585,30.000
7774112100578,52.000
7774112100554,33.000
7774112100561,23.000
7774112110096,10.000
22003900080501,19.000
2200005,27.750
11242,2.000
7774112102442,4.000
2200036,3.470
2200012,27.310
2200006,31.240
2204220046208,4.000
7774112102077,8.000
7774112102084,4.000
110010,15.000
11117,3.000
110021,1.000
110011,12.000
11119,3.000
7774112100783,4.000
7774112100721,1.000
7774112100714,8.000
77144,2.000
110016,1.000
11118,1.000
110018,2.000
7774112100707,5.000
7774112102183,2.000
7774112102169,7.000
11192,28.000
2200215,20.660
2200001,322.290
2200217,2.850
7774112100165,11.000
2200386,5.400
2200301,0.030
7770000800964,4.000
7770000800957,3.000
2200003,19.000
2200030,6.070
2200210,18.950
2200178,32.460
11155,4.000
2200185,32.780
2200032,16.580
2100440,35.120
2100400,5.060
77976,3.000
7774112100431,5.000
7774112100967,14.000
7774112100288,38.000
7774112100301,45.000
7774112103487,30.000
7774112100271,54.000
7774112102602,15.000
2200397,10.770
11292,16.000
2200425,25.230
2200092,50.710
1173,5.000
7774112102541,5.000
2200076,8.080
2200077,37.640
2200078,33.840
2100034,3.630
7771257080529,2.000
110025,1.000
7771257080482,15.000
078895131024,2.000
7411000225059,2.000
7771257080536,9.000
7771214006371,35.000
7771257080512,15.000
7771257080567,9.000
7771257081229,5.000
7771257080499,16.000
7411000222904,22.000
078895423037,6.000
7771257080574,6.000
7411000227152,2.000
7774112100905,24.000
7774112100356,9.000
7774112103647,16.000
734191280612,13.000
781159309298,16.000
7771214000935,7.000
7771214000911,6.000
7771214000928,5.000
05224513,12.000
110033,4.000
11250,2.000
11249,1.000
7774112100691,16.000
7774112103630,5.000
2200029,2.650
2200362,10.240
2200264,14.460
2100453,5.590
11132,9.000
2200040,0.140
1184,10.000
734191280605,23.000
734191280599,16.000
7774112100622,7.000
7774112102886,10.000
110036,7.000
7774112103753,1.000
77109,1.000
7774112101070,11.000
7774112100332,12.000
7774112103739,9.000
7774112101056,23.000
7774112101063,16.000
7774112101117,8.000
7774112101926,3.000
7772115680059,16.000
7772115680073,6.000
7772115680134,1.000
7772115680141,2.000
7772115680127,6.000
11009,9.000
7772115680103,12.000
7772115680097,17.000
7772115680080,17.000
7772115680066,35.000
